Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
4072,FIN,500,44,234,73,50,39,12,2,1,0,2,0,0,0,0,"Kannan, Srinivasan",3.73,A,0.42,,Kannan
4073,FIN,500,12,19,27,23,12,3,1,1,0,0,0,0,0,0,"Gao, Xing",3.55,A-,0.42,,Gao
4074,FIN,500,2,28,16,19,13,1,0,0,0,0,0,0,0,0,"Pollet, Joshua M",3.59,A-,0.39,,Pollet
4075,FIN,500,0,59,68,32,27,18,6,6,3,2,1,0,9,0,"Widdicks, Martin",3.27,A-,0.61,,Widdicks
4076,FIN,500,176,286,79,46,64,6,8,10,3,3,1,2,23,0,"Yang, Xi",3.61,A,0.52,,Yang
4077,FIN,500,16,55,0,0,9,0,0,0,0,0,0,0,2,0,"Davis, Donald W",3.79,A,0.33,,Davis
4078,FIN,500,4,43,26,13,6,5,5,3,0,0,0,0,0,0,"Huang, Jiekun",3.58,A-,0.54,,Huang
4079,FIN,500,0,102,46,18,27,3,4,1,0,0,1,0,0,0,"Raskie, Sterling",3.65,A,0.47,,Raskie
4080,FIN,501,20,260,199,224,169,25,3,3,1,0,0,0,0,1,"Deryugina, Tatyana",3.52,A-,0.41,,Deryugina
4081,FIN,501,4,190,201,246,154,15,0,0,0,0,0,0,0,0,"Miller, Nolan H",3.5,B+,0.37,,Miller
4082,FIN,502,5,27,11,3,4,0,0,3,0,0,0,0,0,0,"Yang, Xi",3.7,A,0.51,,Yang
4083,FIN,502,19,129,76,55,70,11,3,0,0,0,0,0,0,0,"Petry, Joseph A",3.58,A-,0.43,,Petry
4084,FIN,502,23,140,39,45,25,9,0,2,0,0,0,0,0,0,"Widdicks, Martin",3.7,A,0.41,,Widdicks
4085,FIN,503,8,46,0,0,10,0,1,7,0,0,0,0,0,0,"Yang, Xi",3.64,A,0.66,,Yang
4086,FIN,510,3,54,19,14,12,2,0,0,0,0,0,0,1,1,"Gao, Xing",3.67,A,0.38,,Gao
4087,FIN,510,1,40,6,2,4,0,0,0,0,0,0,0,0,0,"Molitor, David",3.86,A,0.29,,Molitor
4088,FIN,511,0,11,8,6,4,2,0,0,0,0,0,0,0,0,"Silva, Dejanir",3.57,A-,0.42,,Silva
4089,FIN,511,125,1875,651,281,528,114,29,11,3,1,0,0,54,16,"Weisbenner, Scott J",3.62,A,0.44,,Weisbenner
4090,FIN,511,18,58,51,41,28,20,1,0,0,0,0,1,0,0,"Choi, Jaewon",3.52,A-,0.49,,Choi
4091,FIN,511,4,5,4,6,11,7,4,6,2,0,0,0,0,0,"Ye, Mao",3.0,B,0.69,,Ye
4092,FIN,511,0,17,10,5,6,1,2,1,0,0,0,0,0,0,"Goodfriend, Jaimi E",3.54,A-,0.53,,Goodfriend
4093,FIN,511,1,331,365,396,229,13,2,0,0,0,0,0,2,1,"Pollet, Joshua M",3.52,A-,0.36,,Pollet
4094,FIN,511,0,102,50,41,9,8,0,0,0,0,0,0,0,0,"Peters, Stephen R",3.7,A-,0.36,,Peters
4095,FIN,511,30,28,64,107,182,124,2,0,0,0,0,0,0,0,"Chan, Kuo Chi",3.17,B,0.42,,Chan
4096,FIN,512,54,140,50,31,63,18,0,2,0,2,0,0,0,0,"France, Virginia G",3.63,A,0.49,,France
4097,FIN,512,41,126,66,76,91,22,17,6,4,0,0,0,1,1,"Johnson, Timothy C",3.45,A-,0.54,,Johnson
4098,FIN,512,0,10,7,4,5,1,0,1,0,0,0,0,0,0,"Peterson, Paul E",3.52,A-,0.5,,Peterson
4099,FIN,512,6,18,16,6,10,2,2,0,0,0,0,0,0,0,"Goodfriend, Jaimi E",3.58,A-,0.46,,Goodfriend
4100,FIN,512,33,160,84,70,64,19,2,1,0,0,0,0,0,2,"Widdicks, Martin",3.61,A-,0.43,,Widdicks
4101,FIN,512,2,4,4,5,2,6,4,2,1,0,0,0,0,0,"Kargar, Mahyar",3.08,B+,0.69,,Kargar
4102,FIN,512,0,7,0,8,7,0,0,0,0,0,0,0,0,0,"Dey, Malay K",3.44,B+,0.41,,Dey
4103,FIN,513,5,4,9,6,6,5,7,1,1,0,1,0,0,0,"Johnson, Timothy C",3.14,B+,0.72,,Johnson
4104,FIN,515,7,36,29,28,23,22,1,0,0,0,1,0,0,0,"Pennacchi, George G",3.42,B+,0.52,,Pennacchi
4105,FIN,520,0,46,0,0,6,0,0,0,0,0,0,0,0,0,"Davis, Donald W",3.88,A,0.32,,Davis
4106,FIN,521,13,20,21,20,15,4,0,0,0,0,0,0,0,0,"Fos, Vyacheslav",3.56,A-,0.41,,Fos
4107,FIN,521,14,331,134,95,222,57,16,3,1,0,0,0,0,2,"Weisbenner, Scott J",3.5,A-,0.5,,Weisbenner
4108,FIN,521,7,21,13,12,16,5,0,0,0,0,0,0,0,0,"Kronlund, Mathias",3.53,A-,0.45,,Kronlund
4109,FIN,521,48,33,5,4,7,7,1,0,0,0,0,0,0,0,"Yang, Xi",3.79,A,0.43,,Yang
4110,FIN,521,3,19,11,8,5,0,0,0,0,0,0,0,0,0,"Huang, Jiekun",3.7,A-,0.35,,Huang
4111,FIN,521,0,24,6,12,12,6,0,0,0,0,0,0,0,0,"Peters, Stephen R",3.5,A-,0.48,,Peters
4112,FIN,522,0,24,17,12,10,1,0,0,0,0,0,0,0,0,"Xuan, Yuhai",3.61,A-,0.38,,Xuan
4113,FIN,522,2,29,6,5,3,2,0,0,0,0,0,0,0,0,"Zeume, Stefan",3.77,A,0.38,,Zeume
4114,FIN,524,5,21,23,41,13,6,0,0,0,0,0,0,0,0,"Bengtsson, Lars O",3.49,B+,0.38,,Bengtsson
4115,FIN,524,1,51,22,31,20,3,0,0,0,0,0,0,0,0,"Lins, David A",3.59,A-,0.4,,Lins
4116,FIN,527,6,49,0,7,10,0,0,2,0,0,0,0,0,0,"Almeida, Heitor",3.75,A,0.47,,Almeida
4117,FIN,550,5,30,17,7,4,3,1,0,0,0,0,0,0,0,"Gao, Xing",3.7,A,0.41,,Gao
4118,FIN,553,45,49,19,7,26,8,0,0,0,0,0,0,0,0,"Duarte, Victor",3.69,A,0.45,,Duarte
4119,FIN,567,8,165,150,93,47,9,0,2,0,0,0,0,0,0,"Pearson, Neil D",3.63,A-,0.37,,Pearson
4120,FIN,571,20,385,318,247,212,85,57,26,11,2,4,1,12,5,"Manouchehri Ira, Rustom D",3.39,A-,0.56,,Manouchehri Ira
4121,FIN,571,4,30,16,17,17,4,2,2,2,0,0,0,0,0,"Wang, Jialan",3.46,A-,0.57,,Wang
4122,FIN,580,1,6,1,6,5,3,0,0,0,0,0,0,0,0,"Gambera, Michele",3.39,B+,0.48,,Gambera
4123,FIN,580,0,6,8,4,5,3,0,0,0,0,0,0,0,0,"Fullerton, Don",3.45,A-,0.44,,Fullerton
4124,FIN,580,4,100,15,12,21,4,0,0,0,0,0,0,0,0,"Sinow, David M",3.75,A,0.4,,Sinow
4125,FIN,580,58,159,31,17,15,3,2,4,0,0,0,0,0,0,"Zhang, Li",3.82,A,0.39,,Zhang
4126,FIN,580,84,453,49,39,16,10,1,1,2,0,0,0,0,2,"Kannan, Srinivasan",3.88,A,0.31,,Kannan
4127,FIN,580,3,7,4,10,4,2,0,0,0,0,0,0,0,0,"Ye, Mao",3.51,B+,0.42,,Ye
4128,FIN,580,50,116,140,124,39,23,4,0,0,0,0,0,0,0,"Gao, Xing",3.59,A-,0.39,,Gao
4129,FIN,580,0,14,12,14,16,14,5,0,1,0,0,0,0,0,"Natenberg, Sheldon",3.23,B+,0.54,,Natenberg
4130,FIN,580,0,45,21,20,4,2,0,0,0,0,0,0,0,0,"Peters, Stephen R",3.71,A-,0.34,,Peters
4131,FIN,580,14,48,26,13,24,6,6,1,4,0,1,0,0,1,"Raskie, Sterling",3.49,A-,0.63,,Raskie
4132,FIN,580,274,1599,391,456,497,125,63,102,9,1,9,1,16,9,"Almeida, Heitor",3.57,A,0.56,,Almeida
4133,FIN,580,9,28,26,13,8,4,0,0,0,0,0,0,0,0,"Clark-Joseph, Adam D",3.65,A-,0.39,,Clark-Joseph
4134,FIN,580,11,44,28,32,22,9,0,0,0,0,0,1,0,0,"Deryugina, Tatyana",3.54,A-,0.49,,Deryugina
4135,FIN,580,0,148,12,5,0,0,0,0,0,0,0,0,0,1,"Noonan, James R",3.96,A,0.14,,Noonan
4136,FIN,580,0,3,13,8,2,2,0,0,0,0,0,0,0,0,"Brown, Jeffrey R",3.49,A-,0.34,,Brown
4137,FIN,580,7,18,38,32,21,9,0,1,0,0,0,0,0,0,"Bengtsson, Lars O",3.45,A-,0.41,,Bengtsson
4138,FIN,580,3,5,11,1,2,0,0,0,0,0,0,0,0,0,"Yontz, Ruth",3.71,A-,0.29,,Yontz
4139,FIN,580,16,49,41,30,27,8,0,1,1,0,0,0,0,0,"Smith, Mark K",3.56,A-,0.45,,Smith
4140,FIN,580,0,4,6,12,2,0,0,0,0,0,0,0,0,0,"Kahn, Charles M",3.5,B+,0.29,,Kahn
4141,FIN,580,1,10,11,24,5,3,0,1,0,0,0,0,0,0,"Reif, Julian C",3.44,B+,0.41,,Reif
4142,FIN,580,2,21,11,4,7,4,0,0,0,0,0,0,0,0,"Widdicks, Martin",3.62,A-,0.45,,Widdicks
4143,FIN,580,5,16,7,1,0,0,0,0,0,0,0,0,0,0,"Clark, Stephen R",3.9,A,0.18,,Clark
4144,FIN,580,15,43,18,16,16,3,0,2,0,0,0,0,1,0,"Pae, Yuntaek",3.61,A,0.46,,Pae
4145,FIN,580,10,53,2,2,1,0,0,0,0,0,0,0,0,0,"Cannaday, Roger E",3.96,A,0.17,,Cannaday
4146,FIN,580,0,32,10,1,0,0,0,0,0,0,0,0,0,0,"Metzger, Robert L",3.91,A,0.17,,Metzger
4147,FIN,580,14,27,24,13,5,0,0,0,0,0,0,0,0,1,"Duarte, Victor",3.74,A-,0.31,,Duarte
4148,FIN,580,5,151,129,88,72,4,0,0,0,0,0,0,0,1,"Pearson, Neil D",3.6,A-,0.37,,Pearson
4149,FIN,580,4,51,46,46,40,8,1,0,0,0,0,0,0,2,"Molitor, David",3.5,A-,0.41,,Molitor
4150,FIN,580,2,12,10,3,10,1,0,0,0,0,0,0,0,0,"O'Connell, Daniel W",3.56,A-,0.43,,O'Connell
4151,FIN,580,25,11,8,3,6,2,0,0,0,0,0,0,0,0,"Chinco, Alexander M",3.76,A,0.39,,Chinco
4152,FIN,580,149,165,77,0,45,4,4,8,2,0,0,0,0,1,"Yang, Xi",3.77,A,0.45,,Yang
4153,FIN,580,0,25,0,0,15,0,0,0,0,0,0,0,0,0,"Davis, Donald W",3.62,A,0.48,,Davis
4154,FIN,580,0,11,7,8,8,0,0,0,0,0,0,0,0,0,"Chattopadhyay, Shinjinee",3.54,A-,0.39,,Chattopadhyay
4155,FIN,580,0,22,4,0,1,2,0,0,0,0,0,0,0,0,"Brown, Darwin F",3.83,A,0.38,,Brown
4156,FIN,580,1,152,92,23,34,34,15,3,0,0,0,0,0,1,"Goodfriend, Jaimi E",3.56,A-,0.53,,Goodfriend
4157,FIN,580,4,28,3,0,0,1,0,0,0,0,0,0,0,0,"Mallon, Michael F",3.94,A,0.23,,Mallon
4158,FIN,580,18,29,37,28,17,11,0,0,0,0,0,0,0,0,"Wang, Zhi J",3.55,A-,0.42,,Wang
4159,FIN,580,6,27,47,16,9,0,0,0,0,0,0,0,0,1,"Zhang, Qingquan",3.66,A-,0.3,,Zhang
4160,FIN,580,16,28,25,26,16,4,1,0,0,0,0,0,0,0,"Agiakloglou, Christos",3.58,A-,0.41,,Agiakloglou
4161,FR,101,0,2,5,2,5,1,0,0,1,1,2,0,2,0,"Gaillard, Stephanie R",2.65,B,0.94,,Gaillard
4162,FR,101,0,10,2,10,18,0,2,2,0,0,0,0,0,0,"Deleuze, Laetitia T",3.26,B+,0.52,,Deleuze
4163,FR,101,1,5,4,3,3,5,1,1,0,0,0,0,0,0,"Ndiaye, Gana",3.28,B+,0.6,,Ndiaye
4164,FR,101,0,5,7,3,12,8,0,5,3,0,2,0,0,0,"Benbouazza, Mouna",2.89,B,0.78,,Benbouazza
4165,FR,101,1,7,4,1,6,1,0,0,0,1,0,0,1,0,"Boukettaya, Karima",3.27,A-,0.66,,Boukettaya
4166,FR,101,3,5,11,10,2,1,6,3,0,2,0,3,0,0,"Hauser, Sarah A",3.02,B+,0.95,,Hauser
4167,FR,101,2,5,4,1,5,1,1,2,0,0,0,0,0,1,"Prieu, Charlotte C",3.33,A-,0.66,,Prieu
4168,FR,101,1,7,7,0,2,1,2,2,0,1,0,0,0,0,"Taddei, Fara",3.32,A-,0.8,,Taddei
4169,FR,101,0,1,2,3,3,4,2,2,1,0,0,0,3,0,"Ruane, Aileen R",2.44,B-,0.69,,Ruane
4170,FR,101,2,6,3,5,3,3,0,0,0,0,0,1,1,0,"Meritan, Camille A",3.22,B+,0.74,,Meritan
4171,FR,101,2,16,10,2,6,4,0,2,0,0,0,0,0,0,"Brant, Daniel",3.52,A-,0.57,,Brant
4172,FR,101,2,4,3,3,6,1,0,1,1,0,1,0,1,0,"Stanny, Margaret E",3.06,B+,0.78,,Stanny
4173,FR,101,0,5,2,0,6,0,4,2,0,0,0,1,2,0,"Pruneddu, Paola",2.7,B,0.87,,Pruneddu
4174,FR,101,2,7,5,1,5,1,0,1,0,1,1,0,0,0,"Swisher, Emily R",3.32,A-,0.84,,Swisher
4175,FR,101,2,1,7,0,6,3,0,1,1,1,0,0,0,0,"Saint-Maxent, Nadege J",3.12,B,0.73,,Saint-Maxent
4176,FR,101,4,7,6,2,1,0,0,2,0,0,0,0,0,1,"Thrasher, Tricia K",3.62,A,0.58,,Thrasher
4177,FR,101,3,5,6,2,1,1,0,1,1,1,0,0,0,0,"Campbell, Ryan S",3.4,A-,0.79,,Campbell
4178,FR,101,1,3,3,1,4,2,2,3,1,0,0,0,1,0,"Swift, Camille M",2.86,B,0.75,,Swift
4179,FR,101,2,15,3,0,1,0,0,0,0,0,0,0,0,1,"Maroun, Daniel N",3.91,A,0.23,,Maroun
4180,FR,101,0,6,6,2,1,4,0,1,0,0,1,0,0,0,"Laforet, Johnny A",3.3,A-,0.77,,Laforet
4181,FR,101,0,5,4,3,4,0,1,3,1,0,0,1,0,1,"Nicholas, Jessica A",3.06,B+,0.9,,Nicholas
4182,FR,101,2,7,1,1,4,0,4,1,0,1,0,0,0,0,"Curran, Sean M",3.22,B+,0.82,,Curran
4183,FR,101,0,8,8,2,14,2,0,2,2,0,4,0,2,0,"Chazal, Kirby C",2.88,B,0.88,,Chazal
4184,FR,101,5,14,13,1,6,1,2,1,1,0,0,0,1,0,"Ghaderi, Anoosheh",3.47,A-,0.59,,Ghaderi
4185,FR,102,3,13,9,6,6,5,1,5,1,0,0,0,1,0,"Ndiaye, Gana",3.25,A-,0.69,,Ndiaye
4186,FR,102,0,5,2,2,6,3,0,1,2,0,2,1,0,0,"Tarjanyi, Peter",2.83,B,0.99,,Tarjanyi
4187,FR,102,2,11,2,4,1,3,0,1,0,0,0,0,0,1,"Curtin, Sean M",3.57,A,0.57,,Curtin
4188,FR,102,1,11,1,1,5,0,2,0,0,0,0,0,0,1,"Curran, Sean M",3.56,A,0.58,,Curran
4189,FR,102,0,1,6,2,6,2,1,0,0,1,1,0,2,0,"Clifton, Alison M",2.76,B,0.76,,Clifton
4190,FR,102,8,11,9,0,6,1,0,3,3,0,0,0,1,0,"Zsombok, Gyula",3.35,A-,0.76,,Zsombok
4191,FR,102,2,7,4,0,1,3,1,2,1,0,1,0,0,0,"Jacobson, Jessica A",3.21,A-,0.91,,Jacobson
4192,FR,102,4,12,6,4,15,4,1,4,0,1,2,0,0,0,"Swisher, Emily R",3.18,B,0.79,,Swisher
4193,FR,102,6,9,6,7,9,2,1,3,0,0,1,0,1,0,"Taddei, Fara",3.27,B+,0.69,,Taddei
4194,FR,102,5,18,8,0,8,0,2,2,1,1,1,0,0,0,"Prieu, Charlotte C",3.44,A,0.8,,Prieu
4195,FR,102,0,1,6,2,4,2,0,4,2,0,1,0,0,1,"Furrer, Laura E",2.83,B,0.83,,Furrer
4196,FR,102,4,13,13,11,12,10,2,1,1,0,0,0,1,0,"Strole, Nicholas A",3.28,B+,0.56,,Strole
4197,FR,102,3,3,6,3,1,2,2,2,0,0,0,0,1,0,"Meritan, Camille A",3.17,A-,0.67,,Meritan
4198,FR,102,0,7,0,1,5,1,2,4,0,0,0,2,0,0,"Nicholas, Jessica A",2.86,B,1.01,,Nicholas
4199,FR,103,0,8,7,3,10,7,2,7,1,0,1,1,0,0,"Ndiaye, Gana",2.94,B,0.81,,Ndiaye
4200,FR,103,3,11,11,4,9,3,0,1,0,0,0,1,0,0,"Strole, Nicholas A",3.43,A-,0.65,,Strole
4201,FR,103,2,1,7,5,0,2,3,0,0,0,0,1,0,0,"Black, Lucia C",3.21,B+,0.78,,Black
4202,FR,103,0,7,10,5,10,8,2,2,0,0,0,0,2,0,"Benoit, Malyoune F",3.07,B,0.57,,Benoit
4203,FR,103,0,1,2,5,3,3,2,1,1,2,2,1,0,0,"Guillaud-Marlie, Anne-Ben",2.55,B-,0.95,,Guillaud-Marlie
4204,FR,103,1,19,7,6,12,5,1,8,4,1,0,0,1,0,"Beyogle, Richard",3.1,B+,0.8,,Beyogle
4205,FR,103,1,3,6,3,1,4,0,4,2,0,0,0,0,0,"Namjoshi, Jui",3.04,B+,0.79,,Namjoshi
4206,FR,103,0,10,7,2,3,0,0,0,0,0,0,0,0,0,"Le Corvaisier, Elenore S",3.7,A-,0.35,,Le Corvaisier
4207,FR,103,2,15,8,2,11,3,0,1,1,0,0,0,0,1,"Laforet, Johnny A",3.46,A-,0.59,,Laforet
4208,FR,103,0,3,7,2,3,3,0,1,0,0,1,0,1,0,"Nicholas, Jessica A",3.06,B+,0.73,,Nicholas
4209,FR,104,4,5,3,9,13,3,2,6,0,0,1,0,2,0,"Zulato, Alessia",2.95,B,0.69,,Zulato
4210,FR,104,0,5,11,9,11,3,2,3,0,0,1,1,1,0,"Beyogle, Richard",3.06,B+,0.72,,Beyogle
4211,FR,104,1,6,2,1,7,2,0,3,0,0,1,0,1,0,"Berthelon, Julien",3.0,B,0.8,,Berthelon
4212,FR,134,3,9,4,2,4,0,0,0,0,0,0,0,0,0,"Toharia Zapata, Cristina",3.7,A,0.39,,Toharia Zapata
4213,FSHN,101,133,360,95,123,141,90,58,50,26,14,10,11,19,3,"Schmidt, Shelly J",3.28,A-,0.79,,Schmidt
4214,FSHN,101,0,33,0,0,27,0,0,7,0,0,0,0,2,0,"Bohn, Dawn M",3.29,B,0.67,,Bohn
4215,FSHN,101,31,340,0,12,50,11,1,22,2,2,4,2,6,3,"Gist, Toni M",3.65,A,0.65,,Gist
4216,FSHN,120,90,2678,0,0,935,0,0,325,0,0,81,0,61,7,"Burkhalter, Toni M",3.5,A,0.72,,Burkhalter
4217,FSHN,120,62,1445,0,0,616,0,0,139,0,0,49,0,41,7,"Gist, Toni M",3.49,A,0.7,,Gist
4218,FSHN,199,136,16,1,0,2,1,0,0,0,1,0,0,0,0,"Beam, Bradley A",3.96,A+,0.26,,Beam
4219,FSHN,199,0,81,0,0,17,0,0,4,0,0,2,0,3,0,"Burkhalter, Toni M",3.6,A,0.63,,Burkhalter
4220,FSHN,199,0,19,0,0,4,0,0,1,0,0,0,0,0,0,"Plawecki, Karen L",3.75,A,0.52,,Plawecki
4221,FSHN,304,56,34,3,5,11,2,1,3,1,0,0,0,2,1,"Beam, Bradley A",3.69,A,0.51,,Beam
4222,FSHN,312,7,13,13,5,2,3,1,0,0,0,0,0,0,0,"Stasiewicz, Matthew J",3.65,A-,0.44,,Stasiewicz
4223,FSHN,398,3,16,0,0,8,0,0,3,0,0,0,0,0,0,"Amengual Terras, Jaime",3.53,A,0.67,,Amengual Terras
4224,FSHN,414,0,34,0,6,4,0,4,0,0,0,0,0,0,0,"Bohn, Dawn M",3.69,A,0.53,,Bohn
4225,FSHN,420,48,32,0,6,10,0,4,6,0,0,2,0,0,0,"Holscher, Hannah D",3.64,A,0.69,,Holscher
4226,FSHN,460,3,73,8,9,10,0,2,5,0,0,0,0,0,0,"Morris, Scott A",3.71,A,0.53,,Morris
4227,FSHN,471,1,21,0,0,3,0,0,0,0,0,0,0,0,0,"Chassy, Bruce M",3.88,A,0.32,,Chassy
4228,FSHN,482,10,26,4,4,1,0,0,0,0,0,0,0,0,0,"Lee, Youngsoo",3.89,A,0.24,,Lee
4229,FSHN,595,12,11,3,3,2,0,1,0,0,0,0,0,0,0,"Barth, Mary M",3.79,A,0.4,,Barth
4230,FSHN,595,12,26,7,3,3,0,0,1,0,0,0,0,0,0,"Schmidt, Shelly J",3.82,A,0.38,,Schmidt
4231,FSHN,595,4,30,0,0,0,1,0,0,0,0,0,0,0,0,"Cadwallader, Keith R",3.96,A,0.22,,Cadwallader
4232,FSHN,595,0,20,0,1,0,0,0,0,0,0,0,0,0,0,"Garrow, Timothy A",3.97,A,0.14,,Garrow
4233,GCL,200,1,10,3,5,2,2,1,0,0,1,0,0,0,0,"Miraftab, Faranak",3.47,A-,0.66,,Miraftab
4234,GCL,200,1,16,0,0,4,0,0,2,0,0,1,0,0,0,"Gardoni, Paolo",3.54,A,0.82,,Gardoni
4235,GE,312,15,33,12,18,22,4,13,10,0,0,0,0,3,1,"Reis, Henrique M",3.25,B+,0.67,,Reis
4236,GE,331,0,1,1,0,3,5,1,5,2,0,4,0,3,1,"Keane, Richard D",1.99,C,0.81,,Keane
4237,GEOG,101,1,10,6,14,3,2,5,0,0,0,0,0,4,0,"Perez, Erron M",3.08,B+,0.59,,Perez
4238,GEOG,101,19,24,19,13,9,5,1,4,1,0,0,1,1,0,"Heil, Melissa",3.48,A-,0.64,,Heil
4239,GEOG,101,4,11,36,14,11,7,5,5,1,1,1,0,7,0,"Aadland, Matthew A",3.07,B+,0.67,,Aadland
4240,GEOG,101,3,30,31,21,8,1,4,4,0,0,0,1,0,0,"Minn, Michael",3.5,A-,0.58,,Minn
4241,GEOG,101,0,4,29,10,9,8,7,5,3,0,3,1,0,0,"Peimer, Alex",3.03,B+,0.79,,Peimer
4242,GEOG,101,7,33,20,19,14,8,4,2,1,0,0,0,0,1,"Fogelman, Charles J",3.47,A-,0.56,,Fogelman
4243,GEOG,101,0,6,32,18,12,10,10,8,2,0,0,0,0,0,"Lakhanpal, Shikha",3.13,B+,0.62,,Lakhanpal
4244,GEOG,101,5,44,86,65,35,33,8,13,3,5,1,0,18,2,"Lewis, Quinn W",3.1,B+,0.63,,Lewis
4245,GEOG,101,5,23,24,17,13,6,5,1,1,0,0,0,1,0,"Jusrut, Poonam V",3.41,A-,0.54,,Jusrut
4246,GEOG,101,13,38,29,27,11,5,9,4,0,1,0,0,0,0,"Coulter, Kathryn M",3.48,A-,0.58,,Coulter
4247,GEOG,101,1,4,5,2,3,3,1,0,2,0,0,1,0,1,"Rai, Pronoy",3.11,B+,0.88,,Rai
4248,GEOG,101,0,14,42,6,16,14,10,0,0,0,2,6,0,0,"Fischer, Harry W",3.13,A-,0.84,,Fischer
4249,GEOG,101,0,2,42,24,28,4,8,2,0,0,0,0,0,0,"Goel, Varun",3.27,B+,0.44,,Goel
4250,GEOG,101,11,6,3,0,3,3,1,0,0,0,0,0,0,0,"Wong, Sandy",3.64,A,0.54,,Wong
4251,GEOG,101,6,31,25,11,7,2,1,1,0,0,1,0,0,0,"Lechtenberg, Devon M",3.62,A-,0.51,,Lechtenberg
4252,GEOG,101,1,13,17,7,16,7,2,6,3,0,2,0,2,0,"Cuerda, Sasha C",3.05,B+,0.75,,Cuerda
4253,GEOG,101,4,16,18,8,11,8,7,3,1,1,0,1,2,0,"De Leon Alejand, Jose D",3.16,B+,0.72,,De Leon Alejand
4254,GEOG,101,1,13,9,15,18,5,5,8,1,1,1,0,0,0,"Chi, Sang hyun",3.09,B,0.71,,Chi
4255,GEOG,101,3,12,11,16,20,7,6,4,2,1,1,1,0,0,"Chitturi, Deepika",3.1,B+,0.72,,Chitturi
4256,GEOG,101,0,14,56,40,16,18,2,4,4,0,0,0,4,2,"Rana, Pushpendra",3.23,B+,0.52,,Rana
4257,GEOG,101,0,2,32,28,22,20,0,2,0,4,0,0,0,0,"Berg, Kevin D",3.16,B+,0.54,,Berg
4258,GEOG,101,8,10,15,11,12,6,2,2,2,1,2,0,3,0,"Hammerstein, Katya N",3.12,B+,0.74,,Hammerstein
4259,GEOG,101,9,18,15,4,2,0,1,0,0,1,0,0,0,0,"Verma, Tushar",3.72,A,0.48,,Verma
4260,GEOG,101,9,21,16,11,15,3,1,0,0,1,0,0,0,0,"Tripathy, Priyam",3.53,A-,0.51,,Tripathy
4261,GEOG,101,5,2,7,5,4,4,0,1,1,0,0,0,0,0,"Pavlovic, Nathan",3.33,B+,0.61,,Pavlovic
4262,GEOG,101,3,20,24,23,5,1,1,0,2,0,0,0,1,1,"Kone, Moussa",3.5,A-,0.46,,Kone
4263,GEOG,101,7,5,2,6,1,1,1,0,0,0,0,0,0,0,"Ramprasad, Vijay",3.62,A,0.48,,Ramprasad
4264,GEOG,101,12,35,26,7,9,2,0,0,3,0,0,0,2,0,"DeMuynck, Erin M",3.58,A-,0.51,,DeMuynck
4265,GEOG,101,3,8,9,7,10,4,1,1,1,0,0,0,1,0,"Umar, Muhammad",3.27,B+,0.57,,Umar
4266,GEOG,101,10,40,52,33,29,18,7,8,6,4,3,1,5,0,"Cheng, Benjamin C",3.18,B+,0.73,,Cheng
4267,GEOG,379,20,19,17,3,3,2,1,1,1,0,0,2,5,1,"Winata, Fikriyah",3.38,A,0.72,,Winata
4268,GEOG,379,1,9,9,4,6,5,4,3,1,1,0,1,1,1,"Minn, Michael",3.04,B+,0.81,,Minn
4269,GEOL,100,0,10,19,16,5,11,4,3,0,0,1,0,2,0,"Wong, Karen J",3.15,B+,0.61,,Wong
4270,GEOL,100,125,151,172,164,115,104,56,42,32,19,18,11,25,3,"Long, Ann D",3.12,B+,0.8,,Long
4271,GEOL,100,11,6,5,2,4,4,1,2,1,2,0,1,3,0,"Napieralski, Stephanie A",3.02,A-,0.91,,Napieralski
4272,GEOL,100,20,30,37,56,32,36,20,18,5,4,2,1,5,4,"Torbeck, Douglas R",3.06,B+,0.71,,Torbeck
4273,GEOL,100,0,18,10,7,2,2,1,2,1,0,1,0,1,0,"Zhao, Fangruo",3.39,A-,0.71,,Zhao
4274,GEOL,100,10,18,14,14,8,8,4,4,0,6,0,2,0,0,"Kelly, Marissa",3.2,B+,0.87,,Kelly
4275,GEOL,100,4,11,9,7,7,1,3,1,0,0,0,1,0,0,"Jin, Jing",3.4,A-,0.68,,Jin
4276,GEOL,100,0,2,5,5,2,5,0,0,0,1,1,0,2,0,"Dwyer, Samantha E",2.81,B+,0.77,,Dwyer
4277,GEOL,100,4,16,8,17,11,7,6,2,1,1,0,1,3,0,"Li, Xiaoxiao",3.11,B+,0.7,,Li
4278,GEOL,100,0,15,19,24,9,22,7,5,6,3,2,0,2,0,"Mager, Stephanie M",2.96,B+,0.75,,Mager
4279,GEOL,100,13,11,10,5,6,7,8,4,3,1,1,0,7,0,"Pettijohn, Justin C",2.9,B+,0.83,,Pettijohn
4280,GEOL,100,4,1,3,3,2,5,2,2,0,0,0,0,2,0,"Albright, John A",2.88,B,0.68,,Albright
4281,GEOL,100,1,1,2,4,2,4,4,1,0,1,0,0,1,0,"Hinton, Jessica S",2.76,B-,0.67,,Hinton
4282,GEOL,100,2,1,2,3,1,2,1,1,4,0,2,0,3,0,"Chen, Chu-Yung",2.3,B-,0.99,,Chen
4283,GEOL,100,8,30,22,14,20,22,8,8,6,2,2,0,0,0,"Bryk, Alexander",3.15,B+,0.77,,Bryk
