Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
6625,PHIL,101,7,10,9,4,6,0,1,1,0,1,0,0,0,0,"Carmichael, Chad R",3.54,A-,0.61,,Carmichael
6626,PHIL,101,8,10,3,2,2,0,0,0,0,0,0,0,1,0,"Maimone, Charles L",3.68,A,0.34,,Maimone
6627,PHIL,101,4,9,3,1,4,1,1,0,0,0,0,0,0,1,"Li, Mingyuan",3.62,A,0.51,,Li
6628,PHIL,101,0,23,14,4,3,4,1,0,0,0,0,0,2,0,"Rabern, Brian",3.5,A-,0.47,,Rabern
6629,PHIL,101,1,4,1,6,5,3,0,0,0,0,1,0,2,0,"Sachdev, Megha",2.94,B+,0.69,,Sachdev
6630,PHIL,101,5,5,56,66,34,20,21,1,4,0,0,1,5,0,"Coulter, Richard B",3.11,B+,0.53,,Coulter
6631,PHIL,101,0,22,28,12,4,2,0,0,0,0,2,2,6,0,"Mack, Eric A",3.22,A-,0.74,,Mack
6632,PHIL,101,0,40,17,9,7,8,1,2,0,1,0,1,3,1,"Shatalov, Keren W",3.41,A-,0.65,,Shatalov
6633,PHIL,102,2,7,11,5,9,15,2,1,3,0,0,1,3,0,"Hegger, Ian M",2.92,B,0.71,,Hegger
6634,PHIL,102,5,280,79,62,114,78,42,59,39,15,34,15,107,5,"Fitts, Jesse J",2.73,B,0.95,,Fitts
6635,PHIL,102,19,19,15,7,3,4,2,3,0,1,0,2,2,0,"Rokosz, Steven D",3.42,A-,0.76,,Rokosz
6636,PHIL,102,0,23,12,5,10,6,6,1,5,0,0,3,1,0,"Schwartzenberg, Elena A",3.13,B+,0.89,,Schwartzenberg
6637,PHIL,102,4,20,34,18,26,16,12,8,4,4,0,0,8,0,"Horne, Zachary S",2.97,B,0.7,,Horne
6638,PHIL,102,2,11,2,10,1,8,4,6,3,0,9,0,0,1,"Owens, Kiefer J",2.72,B-,1.04,,Owens
6639,PHIL,102,7,20,17,8,6,6,5,1,2,1,1,0,3,0,"Nesse, Glen A",3.25,A-,0.72,,Nesse
6640,PHIL,102,3,13,11,12,8,2,2,3,3,2,3,2,3,0,"Smith, Andrew L",2.93,B+,0.95,,Smith
6641,PHIL,102,106,205,148,98,112,69,68,43,31,14,18,18,59,3,"Edwards, Adam D",3.01,B+,0.86,,Edwards
6642,PHIL,102,0,22,6,2,5,0,0,0,0,0,0,0,0,0,"Wengert, Robert G",3.76,A,0.36,,Wengert
6643,PHIL,102,0,71,35,25,35,18,9,7,3,2,3,0,3,2,"Craw, John J",3.29,A-,0.7,,Craw
6644,PHIL,102,2,16,11,5,5,1,0,2,2,0,1,0,0,0,"Alsup, Clayton",3.45,A-,0.73,,Alsup
6645,PHIL,102,7,19,8,2,8,7,5,3,0,1,0,0,2,0,"Keller, James",3.25,A-,0.71,,Keller
6646,PHIL,102,10,8,18,12,7,11,7,6,3,3,0,2,14,2,"Saenz, Noel B",2.64,B,0.88,,Saenz
6647,PHIL,102,4,12,6,5,6,4,0,0,0,0,0,0,0,0,"Remhof, Justin M",3.55,A-,0.48,,Remhof
6648,PHIL,102,2,16,5,4,4,7,1,5,1,1,0,0,2,0,"Polk, Amber R",3.12,B+,0.78,,Polk
6649,PHIL,102,0,9,9,12,11,9,5,4,1,1,0,0,0,2,"Plebuch, Damian V",3.09,B,0.65,,Plebuch
6650,PHIL,102,2,149,32,26,24,20,16,13,7,4,7,1,16,1,"Ernst, Michael J",3.22,A-,0.81,,Ernst
6651,PHIL,102,7,23,18,24,18,19,6,5,4,0,2,2,5,0,"Bowen, Adam J",3.04,B+,0.75,,Bowen
6652,PHIL,102,3,4,5,4,12,2,3,3,0,0,0,0,0,1,"Harris, Cody R",3.17,B,0.61,,Harris
6653,PHIL,102,0,17,9,14,10,5,5,0,2,1,1,2,0,0,"Bernal, Juan C",3.18,B+,0.82,,Bernal
6654,PHIL,102,4,27,27,17,16,11,6,3,1,1,0,1,0,0,"Lee, Steven F",3.34,A-,0.65,,Lee
6655,PHIL,102,0,18,4,11,16,9,5,4,0,1,2,0,5,0,"Hendricksen, Christopher",2.91,B,0.74,,Hendricksen
6656,PHIL,102,5,16,22,14,8,1,0,1,1,0,4,0,2,1,"Mack, Eric A",3.32,A-,0.73,,Mack
6657,PHIL,102,3,8,8,19,10,5,0,3,1,0,0,1,0,0,"Spino, Joseph M",3.25,B+,0.64,,Spino
6658,PHIL,102,0,16,14,20,10,6,2,0,0,0,0,0,0,0,"Wassell, Michael D",3.42,B+,0.45,,Wassell
6659,PHIL,102,0,10,9,10,15,4,6,2,3,2,0,1,0,1,"Anderson, Lucas J",3.04,B,0.77,,Anderson
6660,PHIL,102,0,29,12,16,4,2,1,1,1,0,0,0,1,0,"Meyer, Daniel W",3.53,A-,0.51,,Meyer
6661,PHIL,102,9,60,15,12,10,7,2,5,2,1,1,2,3,0,"Lee, Seungil",3.42,A,0.76,,Lee
6662,PHIL,102,0,24,13,15,13,5,3,4,3,1,0,0,3,0,"Frank, Devin",3.18,B+,0.68,,Frank
6663,PHIL,102,14,9,8,3,4,4,2,0,1,0,0,1,1,0,"Ross, Ryan D",3.43,A-,0.72,,Ross
6664,PHIL,102,0,20,14,20,26,26,8,6,4,0,0,2,4,0,"Clevenger, John H",2.95,B,0.68,,Clevenger
6665,PHIL,102,15,9,7,2,4,3,2,2,1,0,1,0,1,0,"Louzon, Nicholas J",3.4,A,0.75,,Louzon
6666,PHIL,102,2,47,9,3,5,4,4,2,0,1,0,0,0,0,"Rabern, Brian",3.63,A,0.62,,Rabern
6667,PHIL,102,62,39,22,24,10,14,5,2,0,1,2,1,5,0,"Sanders, Kirk",3.48,A,0.64,,Sanders
6668,PHIL,102,8,24,28,21,13,8,9,6,3,0,1,2,4,0,"Gyenis, Balazs",3.16,B+,0.75,,Gyenis
6669,PHIL,102,1,7,21,19,11,6,3,1,2,1,0,0,0,1,"Maher, Patrick L",3.26,B+,0.57,,Maher
6670,PHIL,102,10,38,28,16,18,11,7,19,8,4,5,4,6,1,"Gilbert, David R",2.94,B+,0.94,,Gilbert
6671,PHIL,103,3,7,11,5,3,2,0,3,4,0,2,0,5,0,"Hegger, Ian M",2.8,B+,0.92,,Hegger
6672,PHIL,103,8,20,9,9,7,9,5,3,7,1,1,4,5,0,"Livengood, Jonathan M",2.89,B+,0.97,,Livengood
6673,PHIL,103,6,5,10,3,3,1,1,3,1,2,2,1,7,2,"Louzon, Nicholas J",2.62,B+,1.04,,Louzon
6674,PHIL,103,0,13,0,0,7,0,0,0,0,0,0,0,1,0,"Khan, Camron D",3.48,A,0.49,,Khan
6675,PHIL,103,4,6,10,6,5,2,1,7,1,0,1,0,4,0,"Higgins, Andrew A",2.89,B+,0.81,,Higgins
6676,PHIL,103,23,12,8,2,6,3,2,0,6,0,0,2,3,1,"Saenz, Noel B",3.25,A,0.89,,Saenz
6677,PHIL,103,2,6,5,3,7,5,2,3,3,2,3,2,5,0,"Coulter, Richard B",2.44,B-,1.01,,Coulter
6678,PHIL,103,0,25,0,0,10,0,0,7,0,0,2,0,2,0,"Craw, John J",3.17,A,0.89,,Craw
6679,PHIL,103,6,8,2,5,5,3,2,2,2,0,4,0,6,1,"Estrup, Adam W",2.64,B,1.0,,Estrup
6680,PHIL,103,4,21,10,7,1,2,5,2,4,1,0,2,0,0,"Polk, Amber R",3.28,A-,0.93,,Polk
6681,PHIL,103,1,8,4,6,11,8,5,7,3,2,4,4,7,2,"Weaver, Christopher G",2.36,B-,0.97,,Weaver
