Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
BADM,210,17,1488,402,241,319,101,71,93,35,2,26,3,20,3
BADM,211,229,1053,368,239,204,81,42,38,22,11,3,5,12,4
BADM,275,352,915,221,78,48,14,10,5,6,3,2,1,2,0
BADM,300,1669,2141,1006,849,906,493,305,313,147,71,96,46,63,23
BADM,310,546,1872,708,361,233,79,54,59,19,5,15,7,35,7
BADM,311,57,315,327,251,173,72,28,10,5,0,0,1,1,3
BADM,312,21,316,177,134,87,39,16,12,9,1,4,2,3,2
BADM,313,66,78,15,9,8,2,1,2,0,0,2,0,3,1
BADM,314,100,81,24,13,12,4,2,4,2,0,0,1,2,0
BADM,320,4357,4465,1727,863,609,249,104,87,46,17,14,10,38,9
BADM,322,123,957,346,169,158,59,26,32,5,1,8,2,6,1
BADM,323,5,253,215,51,169,3,12,12,1,0,0,0,0,1
BADM,325,440,576,428,169,77,47,17,11,7,0,2,3,2,4
BADM,336,21,17,13,4,3,0,0,0,0,0,0,0,0,0
BADM,340,171,348,45,31,23,6,3,14,7,2,0,2,8,1
BADM,350,195,1662,1030,571,445,184,75,73,35,4,31,1,5,6
BADM,351,75,24,5,11,4,5,0,0,0,0,0,0,0,0
BADM,352,84,322,57,47,35,11,5,6,1,0,0,0,0,1
BADM,353,77,487,233,148,77,20,15,12,4,0,0,2,0,2
BADM,367,0,91,6,2,0,0,0,0,0,0,0,0,0,0
BADM,374,153,426,251,250,177,108,48,36,23,7,16,7,8,8
BADM,375,377,785,547,477,376,262,127,106,44,20,13,8,16,14
BADM,378,19,60,8,4,4,9,4,0,1,1,0,0,2,0
BADM,380,206,646,324,170,100,39,22,11,8,2,2,2,2,2
BADM,381,13,122,18,5,3,2,0,0,1,0,0,0,0,0
BADM,382,53,98,27,16,17,2,0,1,0,0,0,0,0,0
BADM,395,30,202,108,44,16,10,2,4,1,0,0,0,2,2
BADM,420,42,301,81,44,33,3,2,12,0,0,2,0,1,0
BADM,445,0,46,49,32,27,4,0,0,0,0,2,0,0,0
BADM,449,598,4142,2163,1337,830,306,154,109,38,0,18,2,17,7
BADM,502,1,126,19,3,5,1,0,1,1,1,0,0,0,0
BADM,508,3693,2995,1713,979,655,210,79,59,34,17,10,9,140,32
BADM,509,1138,4521,1492,780,531,205,116,54,28,9,17,9,171,26
BADM,513,0,82,1,1,2,0,0,1,0,0,0,0,0,0
BADM,514,68,344,243,160,71,19,6,1,2,0,2,0,0,0
BADM,520,993,3810,1240,555,496,98,41,18,15,5,7,3,43,7
BADM,525,17,274,269,236,108,16,6,5,0,0,2,0,0,0
BADM,543,48,154,194,174,71,34,5,2,0,0,0,0,0,0
BADM,544,952,2484,2252,1441,938,373,178,100,40,18,10,5,63,20
BADM,550,11,194,10,8,12,7,3,0,0,0,0,0,1,0
BADM,554,2,65,30,31,16,10,7,3,1,0,0,0,0,0
BADM,566,65,171,121,53,56,20,8,21,7,3,12,15,1,0
BADM,567,810,3710,1626,1125,1013,442,120,106,38,8,9,0,99,19
BADM,572,616,3031,1236,765,1194,340,257,135,38,18,42,1,141,48
BADM,573,3,12,8,5,10,0,2,3,0,0,0,0,0,0
BADM,574,30,150,172,138,87,13,1,1,0,0,0,0,1,0
BADM,589,141,753,288,207,183,75,37,29,9,8,7,0,12,5
BADM,590,2879,6545,2147,967,588,159,59,45,20,8,15,5,152,12
BCOG,100,6,61,0,7,37,0,0,11,0,0,2,0,7,2
BDI,513,12,64,2,4,23,0,0,4,0,0,0,0,0,0
BIOC,455,39,22,19,19,15,8,7,1,1,0,2,1,0,1
BIOE,120,59,67,50,5,5,1,0,2,0,0,0,0,0,0
