Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
ACCY,202,4,60,8,50,28,14,10,8,4,0,2,0,0,0,"Jackson, Luke R"
ACCY,202,4,18,3,12,10,4,5,1,0,0,0,0,0,1,"Rallo, Tyler M"
ACCY,202,3,14,3,18,25,2,2,7,1,0,0,0,0,0,"Sothikhoun, Alain R"
ACCY,202,8,8,4,13,13,4,4,6,2,0,1,0,0,0,"Silver, Paige R"
ACCY,202,16,23,8,37,24,11,4,5,1,0,3,0,0,1,"Balkan, Alexander C"
ACCY,202,0,22,2,14,17,2,4,6,1,0,0,0,1,0,"Reed, Paul M"
ACCY,202,15,22,8,41,25,8,17,9,6,0,1,0,0,1,"Schraiber, Rebecca L"
ACCY,202,2,19,1,16,16,2,5,7,0,0,0,0,0,0,"Diamond, Joseph W"
ACCY,202,10,27,7,29,35,15,9,8,5,0,1,0,0,1,"Wu, Tony Y"
ACCY,202,6,58,12,42,22,6,10,10,1,0,2,0,0,0,"Miller, Bethany C"
ACCY,202,4,14,2,18,8,5,4,6,0,0,3,0,0,0,"Storto, Joseph M"
ACCY,202,2,27,3,11,19,3,6,5,0,0,1,0,0,0,"Crinion, Maureen P"
ACCY,202,3,7,6,11,15,10,4,3,5,0,1,0,0,0,"Coady, Jennifer J"
ACCY,202,2,16,1,17,17,4,4,5,2,0,1,0,0,0,"Mokry, Jennifer A"
ACCY,202,8,8,3,11,6,10,4,3,2,0,1,0,1,0,"Wojnarowski, Michelle L"
ACCY,202,15,35,4,30,24,7,3,11,4,0,2,0,3,1,"Stieren, Brandon K"
ACCY,202,2,5,4,17,15,5,4,0,1,0,3,0,1,0,"Harris, Matthew C"
ACCY,202,21,39,7,22,19,8,2,6,2,0,0,0,6,2,"Grembowski, Tessa V"
ACCY,202,1,17,1,9,12,4,3,5,1,0,2,0,0,1,"Fertl, Christina A"
ACCY,202,6,26,2,16,18,6,1,0,1,0,0,0,1,0,"Dettloff, Kevin R"
ACCY,202,4,14,1,19,7,2,3,1,0,0,1,0,2,1,"Shannon, Ryan P"
ACCY,202,5,19,5,15,10,3,3,5,1,0,0,0,0,0,"Mora, Bradley J"
ACCY,202,8,9,1,7,15,5,7,2,1,0,2,0,0,2,"Ye, Yina"
ACCY,202,11,14,2,29,8,10,0,2,2,0,0,0,2,0,"Forsberg, Brian J"
ACCY,202,5,6,5,8,16,2,6,7,2,0,0,0,0,0,"Arends, Alyssa M"
ACCY,202,17,52,10,26,26,10,8,11,2,0,1,0,0,1,"Wirt, Justin R"
ACCY,202,1,27,2,30,11,2,4,9,0,0,0,0,1,0,"Tanner, Katherine E"
ACCY,202,2,22,1,12,9,0,1,3,0,0,0,0,0,0,"LaRoe, Rebecca F"
ACCY,202,338,561,169,422,588,168,148,137,108,0,32,0,15,3,"Shapland, Julia P"
ACCY,202,4,9,1,5,6,2,3,2,2,0,0,0,0,0,"O'Neill, Peyton D"
ACCY,202,11,38,14,41,20,9,7,7,2,0,1,0,1,0,"Ladd, Dylan T"
ACCY,202,12,20,12,35,28,7,12,10,6,0,4,0,0,2,"Agapito, Christina N"
ACCY,202,5,30,17,36,22,10,10,6,4,0,2,0,0,1,"Ye, Xinxin"
ACCY,202,7,27,1,13,10,4,0,1,1,0,0,0,1,0,"McConnell, Kelly R"
ACCY,202,4,25,2,18,16,9,4,0,0,0,0,0,0,0,"Moradi, Maseeh"
ACCY,202,16,33,11,20,25,8,3,6,6,0,3,0,3,2,"Jin, Yiyun"
ACCY,202,7,14,2,9,16,5,5,5,1,0,0,0,0,0,"Boals, Jennifer L"
ACCY,202,7,8,2,14,11,4,6,1,3,0,0,0,1,0,"Cantieri, Kristen E"
ACCY,202,2,7,2,8,12,0,2,2,0,0,0,0,0,0,"McNamee, Daniel B"
